local_15min,grid,solar,leg1v,leg2v,summary,temperature,cloud_cover
2018-01-01 01:00:00,1.447,-0.002,,,Mostly Cloudy,25.0,0.68
2018-01-01 02:00:00,1.095,-0.006,122.862,123.546,Mostly Cloudy,24.97,0.91
2018-01-01 03:00:00,1.381,-0.005,122.78,123.529,Overcast,24.93,1.0
2018-01-01 04:00:00,0.812,-0.005,122.654,123.233,Overcast,24.84,0.94
2018-01-01 05:00:00,0.498,-0.005,122.594,123.032,Overcast,24.69,0.98
2018-01-01 06:00:00,1.019,-0.004,121.925,122.506,Mostly Cloudy,24.41,0.79
2018-01-01 07:00:00,0.609,-0.005,121.934,122.469,Mostly Cloudy,23.83,0.92
2018-01-01 08:00:00,1.13,0.094,121.943,122.474,Mostly Cloudy,23.94,0.86
2018-01-01 09:00:00,-0.875,1.661,122.124,122.68,Mostly Cloudy,24.68,0.63
2018-01-01 10:00:00,-0.242,1.359,122.143,122.502,Mostly Cloudy,25.26,0.63
2018-01-01 11:00:00,-1.07,2.344,122.479,122.974,Mostly Cloudy,26.86,0.65
2018-01-01 12:00:00,-0.692,1.934,122.401,122.892,Mostly Cloudy,28.19,0.85
2018-01-01 13:00:00,0.522,1.184,122.669,122.915,Overcast,29.01,1.0
2018-01-01 14:00:00,0.608,1.201,122.846,123.088,Mostly Cloudy,29.35,0.92
2018-01-01 15:00:00,3.076,0.812,122.481,123.139,Overcast,29.93,0.94
2018-01-01 16:00:00,3.098,0.518,122.379,122.995,Overcast,29.79,1.0
2018-01-01 17:00:00,3.412,0.035,122.181,122.325,Overcast,28.95,1.0
2018-01-01 18:00:00,3.192,0.005,,,Overcast,28.51,1.0
2018-01-01 19:00:00,1.378,0.0,,,Overcast,28.37,1.0
2018-01-01 20:00:00,2.033,0.002,,,Overcast,28.25,1.0
2018-01-01 21:00:00,1.747,0.0,,,Overcast,28.18,1.0
2018-01-01 22:00:00,1.391,-0.001,,,Overcast,28.09,1.0
2018-01-01 23:00:00,1.264,-0.002,,,Overcast,28.11,1.0
2018-01-02 00:00:00,1.12,-0.004,123.055,123.645,Overcast,27.9,1.0
2018-01-02 01:00:00,0.94,-0.002,123.287,123.775,Overcast,27.85,1.0
2018-01-02 02:00:00,0.413,-0.005,123.359,123.848,Overcast,27.79,1.0
2018-01-02 03:00:00,0.578,-0.004,123.182,123.629,Overcast,27.68,1.0
2018-01-02 04:00:00,0.584,-0.005,122.978,123.477,Overcast,27.45,1.0
2018-01-02 05:00:00,0.596,-0.004,122.758,123.218,Overcast,27.27,1.0
2018-01-02 06:00:00,0.466,-0.005,122.277,122.761,Overcast,27.15,0.98
2018-01-02 07:00:00,0.528,-0.005,121.797,122.324,Overcast,27.22,1.0
2018-01-02 08:00:00,0.736,0.067,121.94,122.073,Overcast,27.52,0.97
2018-01-02 09:00:00,0.72,0.24,121.897,122.612,Overcast,28.33,0.96
2018-01-02 10:00:00,0.201,0.704,121.952,122.7,Mostly Cloudy,29.23,0.91
2018-01-02 11:00:00,-0.169,0.839,122.39,122.861,Mostly Cloudy,30.09,0.84
2018-01-02 12:00:00,-0.463,0.948,122.5,122.945,Mostly Cloudy,30.44,0.71
2018-01-02 13:00:00,-0.208,0.795,122.534,122.942,Overcast,30.51,0.94
2018-01-02 14:00:00,0.144,0.597,122.203,122.651,Overcast,30.06,1.0
2018-01-02 15:00:00,0.241,0.318,122.252,122.649,Mostly Cloudy,29.0,0.92
2018-01-02 16:00:00,0.769,0.066,121.933,122.451,Partly Cloudy,28.13,0.55
2018-01-02 17:00:00,1.137,-0.003,121.424,121.768,Partly Cloudy,27.9,0.29
2018-01-02 18:00:00,1.26,-0.001,121.358,121.878,Mostly Cloudy,27.61,0.75
2018-01-02 19:00:00,1.366,-0.002,121.384,121.846,Partly Cloudy,27.31,0.56
2018-01-02 20:00:00,1.471,-0.002,121.429,121.871,Partly Cloudy,27.03,0.32
2018-01-02 21:00:00,1.188,-0.002,121.807,122.217,Partly Cloudy,26.38,0.48
2018-01-02 22:00:00,1.184,-0.002,122.268,122.823,Mostly Cloudy,26.14,0.8
2018-01-02 23:00:00,0.72,-0.003,122.82,123.271,Partly Cloudy,24.91,0.37
2018-01-03 00:00:00,0.7,-0.003,123.027,123.445,Clear,23.42,0.1
2018-01-03 01:00:00,0.45,-0.005,122.85,123.283,Clear,22.25,0.0
2018-01-03 02:00:00,0.906,-0.005,122.509,123.277,Clear,21.32,0.03
2018-01-03 03:00:00,0.901,-0.005,122.421,123.182,Clear,20.46,0.0
2018-01-03 04:00:00,3.912,0.007,121.973,122.395,Clear,20.55,0.01
2018-01-03 05:00:00,2.375,0.003,121.849,122.107,Clear,20.19,0.0
2018-01-03 06:00:00,0.809,-0.005,121.387,122.039,Clear,19.75,0.0
2018-01-03 07:00:00,0.867,-0.004,121.206,121.837,Clear,20.26,0.0
2018-01-03 08:00:00,-0.466,1.06,122.066,122.308,Clear,26.34,0.03
2018-01-03 09:00:00,-1.769,2.652,122.755,123.41,Clear,31.86,0.0
