localhour,latitude,longitude,tz_offset,summary,ozone,ozone_error,temperature,temperature_error,dew_point,dew_point_error,humidity,humidity_error,visibility,visibility_error,apparent_temperature,apparent_temperature_error,pressure,pressure_error,wind_speed,wind_speed_error,cloud_cover,cloud_cover_error,wind_bearing,precip_intensity,precip_intensity_error,precip_probability,precip_type,irradiance,location
2018-01-01 00:00:00,30.292432,-97.699662,-6.0,Overcast,294.04,,25.82,,22.3,,0.86,,9.92,,19.4,,1037.87,,5.42,,0.96,,1.0,0.0,,0.0,,,
2018-01-01 01:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,293.88,,25.25,,20.71,,0.83,,10.0,,19.14,,1037.86,,5.01,,0.68,,3.0,0.0,,0.0,,,
2018-01-01 02:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,294.27,,25.0,,19.4,,0.79,,10.0,,18.94,,1038.29,,4.92,,0.68,,6.0,0.0,,0.0,,,
2018-01-01 03:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,294.83,,24.97,,18.27,,0.75,,10.0,,18.72,,1039.05,,5.1,,0.91,,2.0,0.0,,0.0,,,
2018-01-01 04:00:00,30.292432,-97.699662,-6.0,Overcast,295.59,,24.93,,17.43,,0.73,,10.0,,18.42,,1039.36,,5.36,,1.0,,7.0,0.0,,0.0,,,
2018-01-01 05:00:00,30.292432,-97.699662,-6.0,Overcast,296.65,,24.84,,16.93,,0.71,,10.0,,18.04,,1039.46,,5.64,,0.94,,8.0,0.0,,0.0,,,
2018-01-01 06:00:00,30.292432,-97.699662,-6.0,Overcast,298.21,,24.69,,15.98,,0.69,,10.0,,18.39,,1039.89,,5.09,,0.98,,8.0,0.0,,0.0,,,
2018-01-01 07:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,299.17,,24.41,,15.2,,0.67,,10.0,,17.53,,1040.72,,5.63,,0.79,,8.0,0.0,,0.0,,,
2018-01-01 08:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,300.0,,23.83,,13.96,,0.65,,10.0,,16.92,,1041.39,,5.55,,0.92,,7.0,0.0,,0.0,,,
2018-01-01 09:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,300.68,,23.94,,13.72,,0.64,,10.0,,17.39,,1042.04,,5.22,,0.86,,10.0,0.0,,0.0,,,
2018-01-01 10:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,301.17,,24.68,,13.73,,0.63,,10.0,,18.77,,1042.67,,4.72,,0.63,,8.0,0.0,,0.0,,,
2018-01-01 11:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,301.43,,25.26,,13.36,,0.6,,10.0,,18.58,,1042.67,,5.59,,0.63,,12.0,0.0,,0.0,,,
2018-01-01 12:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,302.44,,26.86,,14.06,,0.58,,10.0,,21.47,,1042.07,,4.59,,0.65,,3.0,0.0,,0.0,,,
2018-01-01 13:00:00,30.292432,-97.699662,-6.0,Mostly Cloudy,302.85,,28.19,,14.83,,0.57,,10.0,,23.31,,1040.99,,4.32,,0.85,,2.0,0.0,,0.0,,,
